"provincia","anio","vab"
"Mendoza",2020,17878.8139384013
"Mendoza",2021,19083.2215341063
"Mendoza",2022,19749.1888834469
"Mendoza",2023,19617.1112227691
"Misiones",2012,6960.3940954763
"Misiones",2013,7262.95608834942
"Misiones",2014,7326.81037490401
"Misiones",2015,7540.40451628256
"Misiones",2016,7356.693363169
"Misiones",2017,7534.87876252235
"Misiones",2018,7423.1995360672
"Misiones",2019,7243.15488034725
"Misiones",2020,6921.47916978472
"Misiones",2021,7781.66091710118
"Misiones",2022,8045.46512027348
"Misiones",2023,7912.89640693242
"Neuquén",2012,12835.6557182442
"Neuquén",2013,12814.8472134616
"Neuquén",2014,13271.4517393996
"Neuquén",2015,13970.7987632753
"Neuquén",2016,13716.5911058934
"Neuquén",2017,13625.8652092175
"Neuquén",2018,14449.9338571804
"Neuquén",2019,15780.5271128024
"Neuquén",2020,14829.6587975422
"Neuquén",2021,17377.6085547911
"Neuquén",2022,20651.4228707122
"Neuquén",2023,23045.1514249663
"Río Negro",2012,8429.29764959129
"Río Negro",2013,8704.8725064263
"Río Negro",2014,8527.59700702587
"Río Negro",2015,8787.31694208939
"Río Negro",2016,8532.31555708157
"Río Negro",2017,8631.82755290788
"Río Negro",2018,8678.63808196082
"Río Negro",2019,8538.39794460823
"Río Negro",2020,7727.14628818319
"Río Negro",2021,8232.61745365859
"Río Negro",2022,8504.37263653282
"Río Negro",2023,8497.8289784613
"Salta",2012,9919.34994974532
"Salta",2013,9502.62943306399
"Salta",2014,10020.6637966453
"Salta",2015,10794.8939944958
"Salta",2016,10431.2056821042
"Salta",2017,10819.7463432962
"Salta",2018,10709.291413273
"Salta",2019,10816.2164512222
"Salta",2020,9911.73605681791
"Salta",2021,10724.0015078879
"Salta",2022,11152.573495717
"Salta",2023,11613.8511657176
"San Juan",2012,8364.79515436135
"San Juan",2013,8571.77442147999
"San Juan",2014,8160.63077947294
"San Juan",2015,7890.64585510047
"San Juan",2016,7514.0646169664
"San Juan",2017,7687.30312828606
"San Juan",2018,7573.83207243594
"San Juan",2019,7342.34498425865
"San Juan",2020,6599.16228661312
"San Juan",2021,7362.78452039534
"San Juan",2022,7844.68713454356
"San Juan",2023,7740.46991289905
"San Luis",2012,5819.02647473116
"San Luis",2013,6228.93115487381
"San Luis",2014,6085.01611059336
"San Luis",2015,6427.08067169149
"San Luis",2016,6225.77792457226
"San Luis",2017,6310.85027132787
"San Luis",2018,5962.77232523844
"San Luis",2019,5815.62420290698
"San Luis",2020,5071.68028355058
"San Luis",2021,5970.13113543529
"San Luis",2022,6234.93894916019
"San Luis",2023,6074.73654946847
"Santa Cruz",2012,9216.29961297961
"Santa Cruz",2013,9318.38989470373
