anio,categoria,n,part,variable,grupo
2021,Hotel similar 4 o 5 estrellas,527873,0.029461358104687772,tipo_alojamiento,viaje
2021,Resto,257491,0.014370946344545296,tipo_alojamiento,viaje
2021,Segunda vivienda del hogar,3666591,0.20463776414862142,tipo_alojamiento,viaje
2021,Vivienda alquilada por temporada,1717352,0.09584790709849103,tipo_alojamiento,viaje
2021,Vivienda de familiares y amigos,7168302,0.40007333624669106,tipo_alojamiento,viaje
2022,Camping,864757,0.02785291858378388,tipo_alojamiento,viaje
2022,Hotel o similar hasta 3 estrellas,6387635,0.2057390429888724,tipo_alojamiento,viaje
2022,Hotel similar 4 o 5 estrellas,1017715,0.03277953579617813,tipo_alojamiento,viaje
2022,Resto,125518,0.004042803509887037,tipo_alojamiento,viaje
2022,Segunda vivienda del hogar,7664321,0.2468597638561874,tipo_alojamiento,viaje
2022,Vivienda alquilada por temporada,5549911,0.17875682906324733,tipo_alojamiento,viaje
2022,Vivienda de familiares y amigos,9437410,0.3039691062018438,tipo_alojamiento,viaje
2023,Camping,796590.88,0.029640163547007645,tipo_alojamiento,viaje
2023,Hotel o similar hasta 3 estrellas,5725747.38,0.21304799368535393,tipo_alojamiento,viaje
2023,Hotel similar 4 o 5 estrellas,1069624.02,0.03979938972764511,tipo_alojamiento,viaje
2023,Resto,201395.98,0.0074936958667037225,tipo_alojamiento,viaje
2023,Segunda vivienda del hogar,5843406.01,0.21742592610144795,tipo_alojamiento,viaje
2023,Vivienda alquilada por temporada,4460737.12,0.16597852309959646,tipo_alojamiento,viaje
2023,Vivienda de familiares y amigos,8777886.08,0.3266143079722452,tipo_alojamiento,viaje
2024,Camping,460237,0.0326211295203513,tipo_alojamiento,viaje
2024,Hotel o similar hasta 3 estrellas,2639596,0.18709187439819316,tipo_alojamiento,viaje
2024,Hotel similar 4 o 5 estrellas,458446,0.03249418526560658,tipo_alojamiento,viaje
2024,Resto,216856,0.015370532276338719,tipo_alojamiento,viaje
2024,Segunda vivienda del hogar,2662469,0.1887130893277164,tipo_alojamiento,viaje
2024,Vivienda alquilada por temporada,3529337,0.2501558097197055,tipo_alojamiento,viaje
2024,Vivienda de familiares y amigos,4141614,0.2935533794920883,tipo_alojamiento,viaje
2012,Quintil 5,11010718,0.37540062283118847,quintil,visitante
2012,Quintiles 1 y 2,6728357,0.22939733888658184,quintil,visitante
2012,Quintiles 3 y 4,11591505,0.39520203828222966,quintil,visitante
2013,Quintil 5,11408657,0.3772351873368435,quintil,visitante
2013,Quintiles 1 y 2,6283839,0.20777951185310975,quintil,visitante
2013,Quintiles 3 y 4,12550327,0.41498530081004675,quintil,visitante
2014,Quintil 5,11256296,0.3891738794992941,quintil,visitante
2014,Quintiles 1 y 2,5587881,0.19319475313641316,quintil,visitante
2014,Quintiles 3 y 4,12079388,0.41763136736429274,quintil,visitante
2015,Quintil 5,10260798,0.37761291680200426,quintil,visitante
2015,Quintiles 1 y 2,5924866,0.21804404802833305,quintil,visitante
2015,Quintiles 3 y 4,10987130,0.4043430351696627,quintil,visitante
