"provincia","anio","hoteles","restaurantes","vab_total","porc_hoteles","porc_restaurantes","porc_hyr"
"Buenos Aires",2006,436.643224134295,1638.84087897346,154667.803982078,0.00282310353475304,0.0105958760438815,0.0134189795786345
"Buenos Aires",2007,495.800912357119,1908.92328561125,165764.354198737,0.00299099836483963,0.0115158852748439,0.0145068836396836
"Buenos Aires",2008,422.053217705531,1971.94018006255,173660.630630806,0.00243033332409575,0.0113551365839204,0.0137854699080161
"Buenos Aires",2009,354.021028828849,1989.67739587538,162677.777999567,0.00217621013258364,0.0122307878822925,0.0144069980148762
"Buenos Aires",2010,415.438329891848,2182.15298046189,182196.42174833,0.00228016733756549,0.0119769255593621,0.0142570928969276
"Buenos Aires",2011,410.522852738196,2353.07075586516,193596.883917492,0.00212050341116624,0.0121544867264909,0.0142749901376572
"Buenos Aires",2012,438.114582043821,2411.64040332643,192649.041014262,0.00227415916392435,0.0125183099309998,0.0147924690949242
"Buenos Aires",2013,383.105984494971,2417.07908609834,196324.7610253,0.00195138902751855,0.0123116364613165,0.0142630254888351
"Buenos Aires",2014,390.281225760047,2360.29262813233,189466.135568554,0.00205989964691517,0.0124575962931292,0.0145174959400444
"Buenos Aires",2015,393.402096272516,2445.45529683099,195435.292080852,0.00201295319839042,0.0125128643388488,0.0145258175372392
"Buenos Aires",2016,368.466837388489,2548.75310866516,191324.344063332,0.00192587534635174,0.0133216351590965,0.0152475105054482
"Buenos Aires",2017,379.073634192997,2593.50945085439,196195.454568289,0.00193212240837646,0.0132190088529889,0.0151511312613653
"Buenos Aires",2018,386.247971285228,2550.8469190439,189876.093874819,0.00203421064444201,0.0134342710922082,0.0154684817366503
"Buenos Aires",2019,374.297131187518,2523.47401774438,185100.148711974,0.00202213306575969,0.0136330199370668,0.0156551530028265
"Buenos Aires",2020,206.343618625551,1422.09386481794,167866.007137254,0.00122921621920057,0.00847160118400373,0.0097008174032043
"Buenos Aires",2021,225.34719317533,1706.10254873736,186661.141590374,0.00120725283931806,0.00914010561706188,0.0103473584563799
"Buenos Aires",2022,491.856135051354,2052.49094996232,196714.602621076,0.00250035395693932,0.0104338514915233,0.0129342054484626
"Buenos Aires",2023,488.356020136737,2228.23807494891,193076.175307221,0.00252934376475849,0.0115407199847592,0.0140700637495177
"Catamarca",2004,10.0091236308792,24.2753812180586,3857.95921624612,0.00259440887522349,0.00629228559903728,0.00888669447426077
"Catamarca",2005,12.1855609330874,24.8624037492059,4349.61188072425,0.00280152833568645,0.00571600511286678,0.00851753344855322
"Catamarca",2006,12.855174350832,21.684683624527,4585.24073150482,0.00280359856844705,0.00472923558310326,0.0075328341515503
"Catamarca",2007,9.16007700795895,29.2336051536143,4733.58214096317,0.00193512581701922,0.00617578913454029,0.00811091495155951
"Catamarca",2008,10.4625606782373,33.8108758446127,4554.0306004628,0.00229742871670077,0.00742438486056214,0.00972181357726291
"Catamarca",2009,8.7884238154704,32.8012169449278,4155.25443782415,0.00211501460307022,0.0078939129807184,0.0100089275837886
"Catamarca",2010,17.1958391265627,33.7115306266487,4255.86005500717,0.00404050859386957,0.0079212028099904,0.01196171140386
"Catamarca",2011,14.3819762966649,35.1804206324334,4227.89415964526,0.00340168787429428,0.00832102680531274,0.011722714679607
"Catamarca",2012,10.7864752094642,36.0791359913886,4321.49661673035,0.0024960045479858,0.00834875951347756,0.0108447640614634
"Catamarca",2013,12.5212878295543,35.7136513212786,4132.67676993783,0.00302982510527739,0.00864177222401448,0.0116715973292919
"Catamarca",2014,10.3186994015115,33.9448667484174,4257.0024757713,0.00242393549457401,0.00797388936032205,0.0103978248548961
"Catamarca",2015,9.64812288724787,33.7526834894511,3848.44705309304,0.00250701718229268,0.00877046845748435,0.011277485639777
"Catamarca",2016,9.10049916338878,35.0550201208562,3850.06627989793,0.00236372532361444,0.00910504328299136,0.0114687686066058
"Catamarca",2017,10.6931499770557,37.6098245128128,3789.79185080617,0.00282156656566271,0.00992398157825274,0.0127455481439155
"Catamarca",2018,9.87769320480743,33.52847223323,3615.68862679621,0.00273189818714004,0.00927305299044484,0.0120049511775849
"Catamarca",2019,10.6215747849622,32.4556505220882,3268.24477819118,0.00324993245788669,0.00993060579142144,0.0131805382493081
"Catamarca",2020,2.66048496261379,19.0082876754505,2943.72342927649,0.000903782242636729,0.00645722607171774,0.00736100831435447
"Catamarca",2021,7.49564647688828,26.664282451692,3427.65144627654,0.00218681700702993,0.00777916975212209,0.00996598675915202
"Catamarca",2022,9.78286341318644,37.0970342829984,3815.29756316022,0.00256411544610514,0.00972323486409034,0.0122873503101955
"Catamarca",2023,9.83236225529566,42.2142250775976,4091.15760294144,0.00240332033364504,0.0103184059805583,0.0127217263142034
"Córdoba",2004,143.994502941248,412.678010037782,32365.8574108131,0.0044489630264867,0.0127504117935065,0.0171993748199932
"Córdoba",2005,133.011972013113,457.533535434149,37646.1502104797,0.00353321578088179,0.0121535278607793,0.0156867436416611
"Córdoba",2006,149.770870500905,537.835503723308,39981.3014606897,0.00374602289142994,0.0134521759941236,0.0171981988855535
"Córdoba",2007,194.802668146369,572.368380878508,45313.5028627484,0.0042989982199437,0.0126312985030571,0.0169302967230008
"Córdoba",2008,210.227825437509,585.910278280256,46362.1323110572,0.00453447274657319,0.0126376904830263,0.0171721632295995
"Córdoba",2009,208.02705038068,607.196778818163,42126.6040823347,0.00493813956553677,0.0144136179985318,0.0193517575640686
"Córdoba",2010,204.954494327923,648.250536369377,47510.2757757651,0.00431389822478088,0.0136444279849886,0.0179583262097695
"Córdoba",2011,228.992491995719,691.616026284259,49640.7554132143,0.00461299370022805,0.0139324234800051,0.0185454171802332
"Córdoba",2012,213.981758321623,701.617410891841,47356.02811276,0.00451857486468478,0.0148157993576068,0.0193343742222916
"Córdoba",2013,193.249904294345,707.062836349615,50887.6161754348,0.00379758217850325,0.0138945953748751,0.0176921775533783
"Córdoba",2014,190.35248868483,701.31293805812,50214.0526566945,0.00379082106728648,0.0139664675713965,0.017757288638683
"Córdoba",2015,206.629005550623,711.472878786999,52202.432457888,0.00395822561941557,0.0136291135352926,0.0175873391547082
"Córdoba",2016,212.441866148345,725.386001075091,51381.0205359716,0.00413463695217216,0.0141177811088289,0.0182524180610011
"Córdoba",2017,227.242304917928,756.113516898426,52454.1294680056,0.00433221001325614,0.0144147567516037,0.0187469667648598
"Córdoba",2018,243.936181117227,748.163856374775,49000.6022866344,0.00497822822034504,0.0152684624568145,0.0202466906771595
"Córdoba",2019,259.222571125332,720.061300460225,50159.2985120283,0.00516798637172268,0.0143554898457671,0.0195234762174898
"Córdoba",2020,92.7613633905101,399.447643374023,44623.4127940297,0.00207875995094039,0.0089515260793201,0.0110302860302605
"Córdoba",2021,167.414108836778,467.470091260488,50042.1770207231,0.00334546014589752,0.00934152187397648,0.012686982019874
